"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","297673"
"see in COVID-19",44, 0.00071
"predict the coronavirus",44, 0.00071
"moderate COVID-19",44, 0.00071
"mean the coronavirus",44, 0.00071
"lose to coronavirus",44, 0.00071
"flout the COVID-19",44, 0.00071
"expect coronavirus",44, 0.00071
"document COVID-19",44, 0.00071
"do with coronavirus",44, 0.00071
"create the COVID-19",44, 0.00071
"check for COVID-19",44, 0.00071
"be spread COVID-19",44, 0.00071
"be in COVID-19",44, 0.00071
"assess COVID-19",44, 0.00071
"apply to COVID-19",44, 0.00071
"watch COVID-19",43, 0.00070
"vaccinate against COVID-19",43, 0.00070
"turn COVID-19",43, 0.00070
"trace coronavirus",43, 0.00070
"stem COVID-19",43, 0.00070
"state COVID-19",43, 0.00070
"skyrocket COVID-19",43, 0.00070
"show the COVID-19",43, 0.00070
"shield from coronavirus",43, 0.00070
"see with COVID-19",43, 0.00070
"receive a coronavirus",43, 0.00070
"lower COVID-19",43, 0.00070
"know , COVID-19",43, 0.00070
"have more coronavirus",43, 0.00070
"have confirm COVID-19",43, 0.00070
"grapple with coronavirus",43, 0.00070
"fight off COVID-19",43, 0.00070
"do the COVID-19",43, 0.00070
"create the coronavirus",43, 0.00070
"contain a coronavirus",43, 0.00070
"climb coronavirus",43, 0.00070
"breach the COVID-19",43, 0.00070
"be contract COVID-19",43, 0.00070
"assess the COVID-19",43, 0.00070
"argue that COVID-19",43, 0.00070
"announce coronavirus",43, 0.00070
"afflict with COVID-19",43, 0.00070
"see a COVID-19",42, 0.00068
"say [number] COVID-19",42, 0.00068
"result from coronavirus",42, 0.00068
"reflect COVID-19",42, 0.00068
"localise coronavirus",42, 0.00068
"involve the coronavirus",42, 0.00068
"induce by COVID-19",42, 0.00068
"help with coronavirus",42, 0.00068
"find that coronavirus",42, 0.00068
"experience any COVID-19",42, 0.00068
"discuss how COVID-19",42, 0.00068
"be not coronavirus",42, 0.00068
"allocate for COVID-19",42, 0.00068
"work against COVID-19",41, 0.00066
"update coronavirus",41, 0.00066
"trigger by coronavirus",41, 0.00066
"see [number] coronavirus",41, 0.00066
"reopen amid COVID-19",41, 0.00066
"hit with COVID-19",41, 0.00066
"handle of coronavirus",41, 0.00066
"fund COVID-19",41, 0.00066
"extend the coronavirus",41, 0.00066
"contribute to COVID-19",41, 0.00066
"confirm novel coronavirus",41, 0.00066
"come the COVID-19",41, 0.00066
"claim that coronavirus",41, 0.00066
"suppress the coronavirus",40, 0.00065
"see its coronavirus",40, 0.00065
"say [number] coronavirus",40, 0.00065
"reveal coronavirus",40, 0.00065
"reveal COVID-19",40, 0.00065
"report for COVID-19",40, 0.00065
"investigate COVID-19",40, 0.00065
"fill with COVID-19",40, 0.00065
"expect the COVID-19",40, 0.00065
"escape the coronavirus",40, 0.00065
"discharge [number] COVID-19",40, 0.00065
"designate for COVID-19",40, 0.00065
"describe the COVID-19",40, 0.00065
"defy coronavirus",40, 0.00065
"create coronavirus",40, 0.00065
"concern about coronavirus",40, 0.00065
"carry out coronavirus",40, 0.00065
"blame the COVID-19",40, 0.00065
"be declare COVID-19",40, 0.00065
"await coronavirus",40, 0.00065
"affect with COVID-19",40, 0.00065
"reduce the COVID-19",39, 0.00063
"promote COVID-19",39, 0.00063
"predate COVID-19",39, 0.00063
"name COVID-19",39, 0.00063
"incorporate COVID-19",39, 0.00063
"hold coronavirus",39, 0.00063
"give a COVID-19",39, 0.00063
"enforce the COVID-19",39, 0.00063
"cover the COVID-19",39, 0.00063
"wear a coronavirus",38, 0.00061
"send for COVID-19",38, 0.00061
"respect COVID-19",38, 0.00061
"read more coronavirus",38, 0.00061
"react to COVID-19",38, 0.00061
"publish COVID-19",38, 0.00061
"make a coronavirus",38, 0.00061
"link COVID-19",38, 0.00061
"know that coronavirus",38, 0.00061
"house COVID-19",38, 0.00061
"have catch coronavirus",38, 0.00061
"have any coronavirus",38, 0.00061
"feel COVID-19",38, 0.00061
"experience a coronavirus",38, 0.00061
"escape COVID-19",38, 0.00061
"deliver coronavirus",38, 0.00061
"defy COVID-19",38, 0.00061
"conduct a COVID-19",38, 0.00061
"compound by COVID-19",38, 0.00061
"avoid contract COVID-19",38, 0.00061
"analyze COVID-19",38, 0.00061
"subject to COVID-19",37, 0.00060
"seek coronavirus",37, 0.00060
"reveal that COVID-19",37, 0.00060
"report on COVID-19",37, 0.00060
"report a coronavirus",37, 0.00060
"recognize that COVID-19",37, 0.00060
"raise COVID-19",37, 0.00060
"protect from coronavirus",37, 0.00060
"prevent a coronavirus",37, 0.00060
"prevent a COVID-19",37, 0.00060
"mount COVID-19",37, 0.00060
"mitigate coronavirus",37, 0.00060
"increase in COVID-19",37, 0.00060
"fear the coronavirus",37, 0.00060
"explain that COVID-19",37, 0.00060
"expand its COVID-19",37, 0.00060
"ease the COVID-19",37, 0.00060
"complete COVID-19",37, 0.00060
"be use coronavirus",37, 0.00060
"be offer COVID-19",37, 0.00060
"transfer COVID-19",36, 0.00058
"tie to coronavirus",36, 0.00058
"suspect of COVID-19",36, 0.00058
"suffer COVID-19",36, 0.00058
"say "" COVID-19",36, 0.00058
"report the coronavirus",36, 0.00058
"reduce the coronavirus",36, 0.00058
"ravage by coronavirus",36, 0.00058
"open COVID-19",36, 0.00058
"offset COVID-19",36, 0.00058
"neutralize the coronavirus",36, 0.00058
"lead the coronavirus",36, 0.00058
"get through COVID-19",36, 0.00058
"eradicate coronavirus",36, 0.00058
"decrease COVID-19",36, 0.00058
"complicate by COVID-19",36, 0.00058
"break the coronavirus",36, 0.00058
"be get COVID-19",36, 0.00058
"be battle coronavirus",36, 0.00058
"assume COVID-19",36, 0.00058
"admit with COVID-19",36, 0.00058
"use federal coronavirus",35, 0.00057
"use by COVID-19",35, 0.00057
"unveil coronavirus",35, 0.00057
"understand the coronavirus",35, 0.00057
"understand the COVID-19",35, 0.00057
"treat [number] coronavirus",35, 0.00057
"stress that COVID-19",35, 0.00057
"see a coronavirus",35, 0.00057
"say a coronavirus",35, 0.00057
"reserve for COVID-19",35, 0.00057
"report any COVID-19",35, 0.00057
"reel from COVID-19",35, 0.00057
"present with COVID-19",35, 0.00057
"lead the COVID-19",35, 0.00057
"launch a coronavirus",35, 0.00057
"host COVID-19",35, 0.00057
"have high COVID-19",35, 0.00057
"have get coronavirus",35, 0.00057
"have be coronavirus",35, 0.00057
"go into coronavirus",35, 0.00057
"get their COVID-19",35, 0.00057
"donate COVID-19",35, 0.00057
"confirm new coronavirus",35, 0.00057
"be fight coronavirus",35, 0.00057
"be conduct COVID-19",35, 0.00057
"acknowledge COVID-19",35, 0.00057
"use for coronavirus",34, 0.00055
"start COVID-19",34, 0.00055
"require coronavirus",34, 0.00055
"reopen as COVID-19",34, 0.00055
"reflect the COVID-19",34, 0.00055
"receive their COVID-19",34, 0.00055
"mention coronavirus",34, 0.00055
"mean that COVID-19",34, 0.00055
"make a COVID-19",34, 0.00055
"launch its COVID-19",34, 0.00055
"identify as COVID-19",34, 0.00055
"have experience COVID-19",34, 0.00055
"develop the COVID-19",34, 0.00055
"decline COVID-19",34, 0.00055
"conquer COVID-19",34, 0.00055
"clear COVID-19",34, 0.00055
"be more COVID-19",34, 0.00055
"be from COVID-19",34, 0.00055
"apply for COVID-19",34, 0.00055
"aid COVID-19",34, 0.00055
"access COVID-19",34, 0.00055
"accept coronavirus",34, 0.00055
"think about COVID-19",33, 0.00053
"shift to COVID-19",33, 0.00053
"record coronavirus",33, 0.00053
"produce a coronavirus",33, 0.00053
"process coronavirus",33, 0.00053
"practice COVID-19",33, 0.00053
"loosen coronavirus",33, 0.00053
"limit the coronavirus",33, 0.00053
"let the COVID-19",33, 0.00053
