"corpus","preloaded/eng_jsi_newsfeed_curmonth"
"subcorpus",""
"concordance size","225205"
"experience any COVID-19",34, 0.02964
"blame the COVID-19",34, 0.02964
"begin COVID-19",34, 0.02964
"be not coronavirus",34, 0.02964
"be . COVID-19",34, 0.02964
"administer coronavirus",34, 0.02964
"abide by coronavirus",34, 0.02964
"use in COVID-19",33, 0.02877
"undergo the COVID-19",33, 0.02877
"treat his coronavirus",33, 0.02877
"treat his COVID-19",33, 0.02877
"show the COVID-19",33, 0.02877
"see more COVID-19",33, 0.02877
"reveal that COVID-19",33, 0.02877
"report positive coronavirus",33, 0.02877
"receive positive COVID-19",33, 0.02877
"read more coronavirus",33, 0.02877
"ramp up COVID-19",33, 0.02877
"promise free COVID-19",33, 0.02877
"offer rapid COVID-19",33, 0.02877
"note COVID-19",33, 0.02877
"lower COVID-19",33, 0.02877
"know , COVID-19",33, 0.02877
"keep with COVID-19",33, 0.02877
"have report coronavirus",33, 0.02877
"have any coronavirus",33, 0.02877
"expect the coronavirus",33, 0.02877
"dominate by COVID-19",33, 0.02877
"cure the coronavirus",33, 0.02877
"clear COVID-19",33, 0.02877
"boost COVID-19",33, 0.02877
"blame coronavirus",33, 0.02877
"approve for COVID-19",33, 0.02877
"announce coronavirus",33, 0.02877
"suggest coronavirus",32, 0.02790
"suffer coronavirus",32, 0.02790
"struggle with coronavirus",32, 0.02790
"spend on COVID-19",32, 0.02790
"see [number] coronavirus",32, 0.02790
"result from coronavirus",32, 0.02790
"respect COVID-19",32, 0.02790
"report on COVID-19",32, 0.02790
"report a coronavirus",32, 0.02790
"record coronavirus",32, 0.02790
"present COVID-19",32, 0.02790
"offset COVID-19",32, 0.02790
"mention the coronavirus",32, 0.02790
"loosen COVID-19",32, 0.02790
"hit with COVID-19",32, 0.02790
"enforce the COVID-19",32, 0.02790
"end coronavirus",32, 0.02790
"emerge COVID-19",32, 0.02790
"do coronavirus",32, 0.02790
"decimate by COVID-19",32, 0.02790
"cure coronavirus",32, 0.02790
"compound by COVID-19",32, 0.02790
"complicate by COVID-19",32, 0.02790
"color-code COVID-19",32, 0.02790
"anticipate COVID-19",32, 0.02790
"afflict with COVID-19",32, 0.02790
"admit COVID-19",32, 0.02790
"use federal coronavirus",31, 0.02702
"see how COVID-19",31, 0.02702
"report any COVID-19",31, 0.02702
"register [number] coronavirus",31, 0.02702
"purchase COVID-19",31, 0.02702
"issue a COVID-19",31, 0.02702
"increase in COVID-19",31, 0.02702
"have confirm coronavirus",31, 0.02702
"halt coronavirus",31, 0.02702
"do . COVID-19",31, 0.02702
"describe the COVID-19",31, 0.02702
"decrease COVID-19",31, 0.02702
"contact COVID-19",31, 0.02702
"claim that coronavirus",31, 0.02702
"assist with COVID-19",31, 0.02702
"watch COVID-19",30, 0.02615
"want COVID-19",30, 0.02615
"trace COVID-19",30, 0.02615
"title "" COVID-19",30, 0.02615
"suppress the coronavirus",30, 0.02615
"suggest that coronavirus",30, 0.02615
"stop the COVID-19",30, 0.02615
"set COVID-19",30, 0.02615
"protest COVID-19",30, 0.02615
"predict the coronavirus",30, 0.02615
"practice COVID-19",30, 0.02615
"overcome coronavirus",30, 0.02615
"meet the COVID-19",30, 0.02615
"impose COVID-19",30, 0.02615
"implement a COVID-19",30, 0.02615
"generate by COVID-19",30, 0.02615
"find the coronavirus",30, 0.02615
"fight against coronavirus",30, 0.02615
"experience a coronavirus",30, 0.02615
"evaluate COVID-19",30, 0.02615
"conduct a COVID-19",30, 0.02615
"be conduct COVID-19",30, 0.02615
"base COVID-19",30, 0.02615
"allow coronavirus",30, 0.02615
"screen for coronavirus",29, 0.02528
"report more COVID-19",29, 0.02528
"remember that COVID-19",29, 0.02528
"range from COVID-19",29, 0.02528
"publish COVID-19",29, 0.02528
"procure COVID-19",29, 0.02528
"prevent a COVID-19",29, 0.02528
"pend COVID-19",29, 0.02528
"pause COVID-19",29, 0.02528
"participate in COVID-19",29, 0.02528
"ignore the coronavirus",29, 0.02528
"have break coronavirus",29, 0.02528
"force by COVID-19",29, 0.02528
"find that coronavirus",29, 0.02528
"expect a COVID-19",29, 0.02528
"display coronavirus",29, 0.02528
"discuss how COVID-19",29, 0.02528
"decline COVID-19",29, 0.02528
"conquer COVID-19",29, 0.02528
"color-code coronavirus",29, 0.02528
"be provide COVID-19",29, 0.02528
"be confirm COVID-19",29, 0.02528
"be about COVID-19",29, 0.02528
"think the COVID-19",28, 0.02441
"seek a COVID-19",28, 0.02441
"reflect COVID-19",28, 0.02441
"propose coronavirus",28, 0.02441
"politicize the coronavirus",28, 0.02441
"look for COVID-19",28, 0.02441
"implement coronavirus",28, 0.02441
"identify as COVID-19",28, 0.02441
"hope COVID-19",28, 0.02441
"have severe COVID-19",28, 0.02441
"have experience COVID-19",28, 0.02441
"fund COVID-19",28, 0.02441
"feel COVID-19",28, 0.02441
"face a COVID-19",28, 0.02441
"explain COVID-19",28, 0.02441
"escalate COVID-19",28, 0.02441
"enforce the coronavirus",28, 0.02441
"eliminate coronavirus",28, 0.02441
"do the coronavirus",28, 0.02441
"do before COVID-19",28, 0.02441
"dismiss COVID-19",28, 0.02441
"deliver a COVID-19",28, 0.02441
"confirm that COVID-19",28, 0.02441
"clear of COVID-19",28, 0.02441
"check for COVID-19",28, 0.02441
"become coronavirus",28, 0.02441
"beat the COVID-19",28, 0.02441
"be because COVID-19",28, 0.02441
"announce that COVID-19",28, 0.02441
"admit for COVID-19",28, 0.02441
"understand the COVID-19",27, 0.02354
"understand that COVID-19",27, 0.02354
"treat hospitalize COVID-19",27, 0.02354
"state COVID-19",27, 0.02354
"set up COVID-19",27, 0.02354
"send coronavirus",27, 0.02354
"see its coronavirus",27, 0.02354
"secure COVID-19",27, 0.02354
"say its COVID-19",27, 0.02354
"report no COVID-19",27, 0.02354
"reduce the coronavirus",27, 0.02354
"provide free coronavirus",27, 0.02354
"protest coronavirus",27, 0.02354
"overwhelm with coronavirus",27, 0.02354
"monitor the coronavirus",27, 0.02354
"manufacture COVID-19",27, 0.02354
"limit coronavirus",27, 0.02354
"impose new coronavirus",27, 0.02354
"implement the COVID-19",27, 0.02354
"hold a COVID-19",27, 0.02354
"help hospitalize COVID-19",27, 0.02354
"have get coronavirus",27, 0.02354
"grapple with coronavirus",27, 0.02354
"flatten the coronavirus",27, 0.02354
"find a coronavirus",27, 0.02354
"expect coronavirus",27, 0.02354
"enter COVID-19",27, 0.02354
"drive COVID-19",27, 0.02354
"develop the COVID-19",27, 0.02354
"confirm a COVID-19",27, 0.02354
"come from COVID-19",27, 0.02354
"combine with COVID-19",27, 0.02354
"care for coronavirus",27, 0.02354
"break the COVID-19",27, 0.02354
"benefit COVID-19",27, 0.02354
"be get COVID-19",27, 0.02354
"apply to COVID-19",27, 0.02354
"admit with COVID-19",27, 0.02354
"administer [number] COVID-19",27, 0.02354
"add to COVID-19",27, 0.02354
"accept coronavirus",27, 0.02354
"tackle rise coronavirus",26, 0.02266
"stress that COVID-19",26, 0.02266
"sell COVID-19",26, 0.02266
"risk COVID-19",26, 0.02266
"require coronavirus",26, 0.02266
"recuperate from COVID-19",26, 0.02266
"ravage COVID-19",26, 0.02266
"put the coronavirus",26, 0.02266
"put coronavirus",26, 0.02266
"pass the COVID-19",26, 0.02266
"observe all COVID-19",26, 0.02266
"mount coronavirus",26, 0.02266
"measure COVID-19",26, 0.02266
"make a coronavirus",26, 0.02266
"lead the COVID-19",26, 0.02266
"know the COVID-19",26, 0.02266
"know about coronavirus",26, 0.02266
"join the COVID-19",26, 0.02266
"interrupt by COVID-19",26, 0.02266
"house COVID-19",26, 0.02266
"highlight COVID-19",26, 0.02266
"have no coronavirus",26, 0.02266
