"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","575204"
"eradicate the coronavirus",81, 0.00131
"enter the coronavirus",81, 0.00131
"delay by COVID-19",81, 0.00131
"assess the COVID-19",81, 0.00131
"adhere to COVID-19",81, 0.00131
"introduce COVID-19",80, 0.00129
"collect COVID-19",80, 0.00129
"study the coronavirus",79, 0.00128
"say [number] COVID-19",79, 0.00128
"report a coronavirus",79, 0.00128
"reopen after coronavirus",79, 0.00128
"mitigate coronavirus",79, 0.00128
"launch its COVID-19",79, 0.00128
"hospitalize for coronavirus",79, 0.00128
"have see COVID-19",79, 0.00128
"contact COVID-19",79, 0.00128
"concern about coronavirus",79, 0.00128
"cancel over coronavirus",79, 0.00128
"be on coronavirus",79, 0.00128
"apply for COVID-19",79, 0.00128
"see with COVID-19",78, 0.00126
"report any COVID-19",78, 0.00126
"provide a COVID-19",78, 0.00126
"house coronavirus",78, 0.00126
"go into coronavirus",78, 0.00126
"extend the COVID-19",78, 0.00126
"escape the coronavirus",78, 0.00126
"donate to coronavirus",78, 0.00126
"dedicate to coronavirus",78, 0.00126
"strike by COVID-19",77, 0.00125
"lead the COVID-19",77, 0.00125
"know that coronavirus",77, 0.00125
"involve the coronavirus",77, 0.00125
"fight off coronavirus",77, 0.00125
"bring the COVID-19",77, 0.00125
"weather coronavirus",76, 0.00123
"suffer with coronavirus",76, 0.00123
"see how COVID-19",76, 0.00123
"report on COVID-19",76, 0.00123
"report a COVID-19",76, 0.00123
"discharge COVID-19",76, 0.00123
"accelerate COVID-19",76, 0.00123
"update its COVID-19",75, 0.00121
"sell coronavirus",75, 0.00121
"see in COVID-19",75, 0.00121
"join coronavirus",75, 0.00121
"come as coronavirus",75, 0.00121
"assume the coronavirus",75, 0.00121
"warn of coronavirus",74, 0.00120
"ward off coronavirus",74, 0.00120
"open a COVID-19",74, 0.00120
"mount coronavirus",74, 0.00120
"have catch COVID-19",74, 0.00120
"extend its coronavirus",74, 0.00120
"ward off COVID-19",73, 0.00118
"suppress COVID-19",73, 0.00118
"start COVID-19",73, 0.00118
"let the COVID-19",73, 0.00118
"describe the COVID-19",73, 0.00118
"delay by coronavirus",73, 0.00118
"check COVID-19",73, 0.00118
"be spread coronavirus",73, 0.00118
"be spread COVID-19",73, 0.00118
"update coronavirus",72, 0.00116
"start coronavirus",72, 0.00116
"serve COVID-19",72, 0.00116
"report first COVID-19",72, 0.00116
"pay for COVID-19",72, 0.00116
"mishandle the coronavirus",72, 0.00116
"lift its coronavirus",72, 0.00116
"have be coronavirus",72, 0.00116
"do have COVID-19",72, 0.00116
"boost coronavirus",72, 0.00116
"be carry COVID-19",72, 0.00116
"admit coronavirus",72, 0.00116
"stem the COVID-19",71, 0.00115
"sell COVID-19",71, 0.00115
"say , COVID-19",71, 0.00115
"pend COVID-19",71, 0.00115
"help prevent COVID-19",71, 0.00115
"have get COVID-19",71, 0.00115
"follow a coronavirus",71, 0.00115
"discover coronavirus",71, 0.00115
"breach the coronavirus",71, 0.00115
"blame coronavirus",71, 0.00115
"be show COVID-19",71, 0.00115
"avoid contract COVID-19",71, 0.00115
"argue that COVID-19",71, 0.00115
"analyze COVID-19",71, 0.00115
"surpass [number] coronavirus",70, 0.00113
"suffer COVID-19",70, 0.00113
"reduce the coronavirus",70, 0.00113
"put the coronavirus",70, 0.00113
"live with coronavirus",70, 0.00113
"include a COVID-19",70, 0.00113
"ignore the coronavirus",70, 0.00113
"help during COVID-19",70, 0.00113
"explain coronavirus",70, 0.00113
"exacerbate by COVID-19",70, 0.00113
"eradicate coronavirus",70, 0.00113
"cancel amid coronavirus",70, 0.00113
"want COVID-19",69, 0.00112
"turn the coronavirus",69, 0.00112
"study coronavirus",69, 0.00112
"see [number] coronavirus",69, 0.00112
"release a COVID-19",69, 0.00112
"receive their coronavirus",69, 0.00112
"put coronavirus",69, 0.00112
"protest coronavirus",69, 0.00112
"lead COVID-19",69, 0.00112
"have survive COVID-19",69, 0.00112
"explain the coronavirus",69, 0.00112
"enter the COVID-19",69, 0.00112
"emerge from coronavirus",69, 0.00112
"come from COVID-19",69, 0.00112
"benefit coronavirus",69, 0.00112
"trigger by coronavirus",68, 0.00110
"prompt by COVID-19",68, 0.00110
"produce coronavirus",68, 0.00110
"loosen coronavirus",68, 0.00110
"join COVID-19",68, 0.00110
"help in COVID-19",68, 0.00110
"carry the COVID-19",68, 0.00110
"boost COVID-19",68, 0.00110
"announce a COVID-19",68, 0.00110
"agree that COVID-19",68, 0.00110
"work for COVID-19",67, 0.00108
"warn COVID-19",67, 0.00108
"title "" COVID-19",67, 0.00108
"sicken by COVID-19",67, 0.00108
"propose COVID-19",67, 0.00108
"lead to COVID-19",67, 0.00108
"investigate COVID-19",67, 0.00108
"expand its COVID-19",67, 0.00108
"eliminate coronavirus",67, 0.00108
"donate COVID-19",67, 0.00108
"continue coronavirus",67, 0.00108
"view the coronavirus",66, 0.00107
"track the COVID-19",66, 0.00107
"require COVID-19",66, 0.00107
"raise COVID-19",66, 0.00107
"monitor for COVID-19",66, 0.00107
"host COVID-19",66, 0.00107
"help the COVID-19",66, 0.00107
"help during coronavirus",66, 0.00107
"get through coronavirus",66, 0.00107
"devastate by COVID-19",66, 0.00107
"consider coronavirus",66, 0.00107
"blame COVID-19",66, 0.00107
"admit the coronavirus",66, 0.00107
"add coronavirus",66, 0.00107
"understand the COVID-19",65, 0.00105
"think that COVID-19",65, 0.00105
"present with COVID-19",65, 0.00105
"explain COVID-19",65, 0.00105
"estimate that COVID-19",65, 0.00105
"curtail COVID-19",65, 0.00105
"close amid coronavirus",65, 0.00105
"wait for coronavirus",64, 0.00104
"understand that COVID-19",64, 0.00104
"think about COVID-19",64, 0.00104
"overrun with COVID-19",64, 0.00104
"label COVID-19",64, 0.00104
"be test coronavirus",64, 0.00104
"affect COVID-19",64, 0.00104
"suspect of coronavirus",63, 0.00102
"spread novel coronavirus",63, 0.00102
"rampage COVID-19",63, 0.00102
"oversee coronavirus",63, 0.00102
"help tackle coronavirus",63, 0.00102
"have develop COVID-19",63, 0.00102
"develop the COVID-19",63, 0.00102
"defy COVID-19",63, 0.00102
"aid in COVID-19",63, 0.00102
"acknowledge that COVID-19",63, 0.00102
"understand coronavirus",62, 0.00100
"report positive COVID-19",62, 0.00100
"process coronavirus",62, 0.00100
"prevent a COVID-19",62, 0.00100
"present COVID-19",62, 0.00100
"help prevent coronavirus",62, 0.00100
"find a COVID-19",62, 0.00100
"curtail the coronavirus",62, 0.00100
"build COVID-19",62, 0.00100
"break the COVID-19",62, 0.00100
"answer COVID-19",62, 0.00100
"watch the coronavirus",61, 0.00099
"want coronavirus",61, 0.00099
"reveal the coronavirus",61, 0.00099
"induce by COVID-19",61, 0.00099
"identify the coronavirus",61, 0.00099
"give a coronavirus",61, 0.00099
"establish a coronavirus",61, 0.00099
"ensure that coronavirus",61, 0.00099
"ensure coronavirus",61, 0.00099
"coordinate COVID-19",61, 0.00099
"assume that COVID-19",61, 0.00099
"access COVID-19",61, 0.00099
"research COVID-19",60, 0.00097
"report the coronavirus",60, 0.00097
"recognize that COVID-19",60, 0.00097
"help in coronavirus",60, 0.00097
"have beat coronavirus",60, 0.00097
"experience a COVID-19",60, 0.00097
"enter COVID-19",60, 0.00097
"endure the coronavirus",60, 0.00097
"deny coronavirus",60, 0.00097
"deliver coronavirus",60, 0.00097
"defy the coronavirus",60, 0.00097
"confirm with coronavirus",60, 0.00097
"be declare COVID-19",60, 0.00097
"avoid spread coronavirus",60, 0.00097
"announce the COVID-19",60, 0.00097
"suppress the coronavirus",59, 0.00095
"perform coronavirus",59, 0.00095
"need coronavirus",59, 0.00095
