"corpus","preloaded/eng_jsi_newsfeed_lastmonth"
"subcorpus",""
"concordance size","212330"
"loosen coronavirus",32, 0.02917
"interrupt by COVID-19",32, 0.02917
"fund COVID-19",32, 0.02917
"expect coronavirus",32, 0.02917
"decimate by COVID-19",32, 0.02917
"buy COVID-19",32, 0.02917
"be take COVID-19",32, 0.02917
"be not coronavirus",32, 0.02917
"be get COVID-19",32, 0.02917
"announce coronavirus",32, 0.02917
"allow coronavirus",32, 0.02917
"administer a COVID-19",32, 0.02917
"abide by coronavirus",32, 0.02917
"worry about coronavirus",31, 0.02826
"understand the coronavirus",31, 0.02826
"undergo the COVID-19",31, 0.02826
"suppress coronavirus",31, 0.02826
"suggest coronavirus",31, 0.02826
"strike with COVID-19",31, 0.02826
"stop the COVID-19",31, 0.02826
"see a COVID-19",31, 0.02826
"report new coronavirus",31, 0.02826
"protest coronavirus",31, 0.02826
"prompt by COVID-19",31, 0.02826
"predate COVID-19",31, 0.02826
"moderate COVID-19",31, 0.02826
"know about coronavirus",31, 0.02826
"hospitalise COVID-19",31, 0.02826
"grapple with coronavirus",31, 0.02826
"get their COVID-19",31, 0.02826
"find the coronavirus",31, 0.02826
"expect a coronavirus",31, 0.02826
"cover coronavirus",31, 0.02826
"complete COVID-19",31, 0.02826
"breach the COVID-19",31, 0.02826
"blame the COVID-19",31, 0.02826
"be with COVID-19",31, 0.02826
"be handle COVID-19",31, 0.02826
"be about COVID-19",31, 0.02826
"approve for COVID-19",31, 0.02826
"apply to COVID-19",31, 0.02826
"analyze COVID-19",31, 0.02826
"add a COVID-19",31, 0.02826
"warn COVID-19",30, 0.02735
"think about COVID-19",30, 0.02735
"take for COVID-19",30, 0.02735
"suppress the coronavirus",30, 0.02735
"support coronavirus",30, 0.02735
"sniff out COVID-19",30, 0.02735
"see with COVID-19",30, 0.02735
"see in COVID-19",30, 0.02735
"prevent a COVID-19",30, 0.02735
"obtain COVID-19",30, 0.02735
"lead the COVID-19",30, 0.02735
"have see coronavirus",30, 0.02735
"have confirm coronavirus",30, 0.02735
"halt COVID-19",30, 0.02735
"exclude COVID-19",30, 0.02735
"escalate COVID-19",30, 0.02735
"eliminate the coronavirus",30, 0.02735
"concern the COVID-19",30, 0.02735
"color-code COVID-19",30, 0.02735
"book coronavirus",30, 0.02735
"benefit from COVID-19",30, 0.02735
"avoid contract COVID-19",30, 0.02735
"suffer COVID-19",29, 0.02644
"soar COVID-19",29, 0.02644
"sideline by COVID-19",29, 0.02644
"require coronavirus",29, 0.02644
"remember that COVID-19",29, 0.02644
"release a COVID-19",29, 0.02644
"reduce the COVID-19",29, 0.02644
"record coronavirus",29, 0.02644
"protest against coronavirus",29, 0.02644
"procure COVID-19",29, 0.02644
"process coronavirus",29, 0.02644
"politicize the coronavirus",29, 0.02644
"mitigate the coronavirus",29, 0.02644
"link COVID-19",29, 0.02644
"introduce coronavirus",29, 0.02644
"expand its COVID-19",29, 0.02644
"expand coronavirus",29, 0.02644
"ensure coronavirus",29, 0.02644
"do have COVID-19",29, 0.02644
"delay by coronavirus",29, 0.02644
"conduct a COVID-19",29, 0.02644
"be on COVID-19",29, 0.02644
"watch COVID-19",28, 0.02552
"update its coronavirus",28, 0.02552
"update coronavirus",28, 0.02552
"treat the COVID-19",28, 0.02552
"suggest that coronavirus",28, 0.02552
"spend on COVID-19",28, 0.02552
"set COVID-19",28, 0.02552
"seek a COVID-19",28, 0.02552
"release its COVID-19",28, 0.02552
"recognize that COVID-19",28, 0.02552
"predate the coronavirus",28, 0.02552
"need a coronavirus",28, 0.02552
"lose to coronavirus",28, 0.02552
"lie about COVID-19",28, 0.02552
"increase during COVID-19",28, 0.02552
"implement the COVID-19",28, 0.02552
"have see COVID-19",28, 0.02552
"have develop COVID-19",28, 0.02552
"have be coronavirus",28, 0.02552
"give a coronavirus",28, 0.02552
"follow positive coronavirus",28, 0.02552
"facilitate COVID-19",28, 0.02552
"evaluate COVID-19",28, 0.02552
"enhance COVID-19",28, 0.02552
"drive COVID-19",28, 0.02552
"document COVID-19",28, 0.02552
"do . COVID-19",28, 0.02552
"call for COVID-19",28, 0.02552
"beat the COVID-19",28, 0.02552
"be how COVID-19",28, 0.02552
"be . COVID-19",28, 0.02552
"base on coronavirus",28, 0.02552
"attribute to coronavirus",28, 0.02552
"access coronavirus",28, 0.02552
"want a COVID-19",27, 0.02461
"use in COVID-19",27, 0.02461
"track the coronavirus",27, 0.02461
"strike by COVID-19",27, 0.02461
"screen for coronavirus",27, 0.02461
"reveal that COVID-19",27, 0.02461
"release coronavirus",27, 0.02461
"pause COVID-19",27, 0.02461
"overwhelm with COVID-19",27, 0.02461
"outline COVID-19",27, 0.02461
"need for COVID-19",27, 0.02461
"measure COVID-19",27, 0.02461
"launch its COVID-19",27, 0.02461
"know the COVID-19",27, 0.02461
"have get coronavirus",27, 0.02461
"have any coronavirus",27, 0.02461
"give a COVID-19",27, 0.02461
"generate by COVID-19",27, 0.02461
"exist COVID-19",27, 0.02461
"discuss how COVID-19",27, 0.02461
"contact COVID-19",27, 0.02461
"be in COVID-19",27, 0.02461
"agree that COVID-19",27, 0.02461
"title "" COVID-19",26, 0.02370
"spike coronavirus",26, 0.02370
"review the coronavirus",26, 0.02370
"resume COVID-19",26, 0.02370
"report on COVID-19",26, 0.02370
"react to COVID-19",26, 0.02370
"ramp up coronavirus",26, 0.02370
"produce coronavirus",26, 0.02370
"practice COVID-19",26, 0.02370
"hold COVID-19",26, 0.02370
"force by COVID-19",26, 0.02370
"exist before COVID-19",26, 0.02370
"do during COVID-19",26, 0.02370
"develop the COVID-19",26, 0.02370
"develop for COVID-19",26, 0.02370
"come from COVID-19",26, 0.02370
"be spread COVID-19",26, 0.02370
"batter by COVID-19",26, 0.02370
"admit coronavirus",26, 0.02370
"unfold of coronavirus",25, 0.02279
"submit a COVID-19",25, 0.02279
"stick to coronavirus",25, 0.02279
"start COVID-19",25, 0.02279
"spiral coronavirus",25, 0.02279
"secure coronavirus",25, 0.02279
"open a COVID-19",25, 0.02279
"note the COVID-19",25, 0.02279
"mount coronavirus",25, 0.02279
"launch a coronavirus",25, 0.02279
"keep with COVID-19",25, 0.02279
"issue a COVID-19",25, 0.02279
"involve the coronavirus",25, 0.02279
"ignore the coronavirus",25, 0.02279
"hit with coronavirus",25, 0.02279
"help with coronavirus",25, 0.02279
"have survive COVID-19",25, 0.02279
"find that coronavirus",25, 0.02279
"examine COVID-19",25, 0.02279
"enter the COVID-19",25, 0.02279
"enforce the COVID-19",25, 0.02279
"end coronavirus",25, 0.02279
"dominate by COVID-19",25, 0.02279
"determine COVID-19",25, 0.02279
"counter coronavirus",25, 0.02279
"consider a COVID-19",25, 0.02279
"concern coronavirus",25, 0.02279
"come coronavirus",25, 0.02279
"collect COVID-19",25, 0.02279
"cancel by COVID-19",25, 0.02279
"benefit COVID-19",25, 0.02279
"be provide COVID-19",25, 0.02279
"avoid spread COVID-19",25, 0.02279
"alter by COVID-19",25, 0.02279
"accept COVID-19",25, 0.02279
"suspect of COVID-19",24, 0.02188
"slow coronavirus",24, 0.02188
"seek coronavirus",24, 0.02188
"say about COVID-19",24, 0.02188
"require a COVID-19",24, 0.02188
"realize that COVID-19",24, 0.02188
"ravage coronavirus",24, 0.02188
"prevent a coronavirus",24, 0.02188
"present COVID-19",24, 0.02188
"predate the COVID-19",24, 0.02188
"pass [number] COVID-19",24, 0.02188
"necessitate by COVID-19",24, 0.02188
"mishandle the COVID-19",24, 0.02188
"look for COVID-19",24, 0.02188
"learn during COVID-19",24, 0.02188
"isolate COVID-19",24, 0.02188
